aazer;eer;Junior;E.aazer@baton-rouge.fr
uuu;uuu;Junior;U.uuu@baton-rouge.fr
errea;rrer;Junior;R.errea@baton-rouge.fr
rt;ttt;Junior;T.rt@baton-rouge.fr
uhji;ko;Junior;K.uhji@baton-rouge.fr
dfd;ddddd;Junior;D.dfd@baton-rouge.fr
ezarrr;ttts;Junior;T.ezarrr@baton-rouge.fr
errerr;errre;Junior;E.errerr@baton-rouge.fr
test2;test3;Cadet;T.test2@baton-rouge.fr
raezr;errer;Cadet;E.raezr@baton-rouge.fr
ttte;aerr;Pro;A.ttte@baton-rouge.fr
rrr;ezr;Pro;E.rrr@baton-rouge.fr
test;test2;Semi-pro;T.test@baton-rouge.fr
